YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP D,Australia,T-4,3,2,0,1,4,4,0,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP D,Tunisia,T-77,3,1,1,1,1,1,0,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP D,Denmark,T-21,3,0,1,2,1,3,-2,1,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP E,Japan,T-43,3,2,0,1,4,3,1,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP E,Spain,T-72,3,1,1,1,9,3,6,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP E,Germany,T-29,3,1,1,1,6,5,1,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP E,Costa Rica,T-16,3,1,0,2,3,11,-8,3,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP F,Morocco,T-46,3,2,1,0,4,1,3,7,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP F,Croatia,T-17,3,1,2,0,4,1,3,5,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP F,Belgium,T-6,3,1,1,1,1,2,-1,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP F,Canada,T-12,3,0,0,3,2,7,-5,0,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP G,Brazil,T-9,3,2,0,1,3,1,2,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP G,Switzerland,T-74,3,2,0,1,4,3,1,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP G,Cameroon,T-11,3,1,1,1,4,4,0,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP G,Serbia,T-65,3,0,1,2,5,8,-3,1,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP H,Portugal,T-57,3,2,0,1,6,4,2,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP H,South Korea,T-70,3,1,1,1,4,4,0,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP H,Uruguay,T-82,3,1,1,1,2,2,0,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP H,Ghana,T-30,3,1,0,2,5,7,-2,3,,,,,,,,,
