YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Belgium,T-6,1,0,0,1,1,3,-2,0,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Netherlands,T-47,1,0,0,1,0,3,-3,0,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Dutch East Indies,T-22,1,0,0,1,0,6,-6,0,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP A,Brazil,T-9,3,2,1,0,8,2,6,5,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP A,Yugoslavia,T-86,3,2,0,1,7,5,2,4,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP A,Switzerland,T-74,3,1,1,1,4,5,-1,3,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,0,0,3,2,9,-7,0,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP B,Spain,T-72,3,3,0,0,6,1,5,6,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP B,England,T-27,3,1,0,2,2,2,0,2,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP B,Chile,T-13,3,1,0,2,5,6,-1,2,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP B,UNITED STATES,T-81,3,1,0,2,4,8,-4,2,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP C,Sweden,T-73,2,1,1,0,3,2,1,3,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP C,Italy,T-40,2,1,0,1,2,3,-1,2,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP C,Paraguay,T-54,2,0,1,1,2,2,0,1,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP D,Uruguay,T-82,1,1,0,0,8,0,8,2,,,,,,,,,
1950,1950 FIFA Men's World Cup,GROUP D,Bolivia,T-7,1,0,0,1,0,8,-8,0,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP A,Brazil,T-9,2,1,1,0,6,1,5,3,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP A,Yugoslavia,T-86,2,1,1,0,2,1,1,3,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP A,France,T-28,2,1,0,1,3,3,0,2,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP A,Mexico,T-45,2,0,0,2,2,8,-6,0,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP B,Hungary,T-34,2,2,0,0,17,3,14,4,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP B,West Germany,T-85,3,2,0,1,14,11,3,4,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP B,Turkey,T-78,3,1,0,2,10,11,-1,2,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP B,South Korea,T-70,2,0,0,2,0,16,-16,0,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP C,Switzerland,T-74,3,2,0,1,6,4,2,4,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP C,England,T-27,2,1,1,0,6,4,2,3,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP C,Italy,T-40,3,1,0,2,6,7,-1,2,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP C,Belgium,T-6,2,0,1,1,5,8,-3,1,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP D,Uruguay,T-82,2,2,0,0,9,0,9,4,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP D,Austria,T-5,2,2,0,0,6,0,6,4,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP D,Czechoslovakia,T-20,2,0,0,2,0,7,-7,0,,,,,,,,,
1954,1954 FIFA Men's World Cup,GROUP D,Scotland,T-63,2,0,0,2,0,8,-8,0,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP A,West Germany,T-85,3,1,2,0,7,6,1,4,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP A,Northern Ireland,T-51,3,1,2,0,6,5,1,4,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP A,Argentina,T-3,3,1,1,1,5,5,0,3,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP A,Czechoslovakia,T-20,3,0,1,2,5,7,-2,1,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP B,Sweden,T-73,3,2,1,0,5,2,3,5,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP B,Wales,T-84,3,0,3,0,2,2,0,3,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP B,Hungary,T-34,3,1,1,1,6,5,1,3,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP B,Mexico,T-45,3,0,1,2,3,7,-4,1,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP C,France,T-28,3,2,0,1,11,7,4,4,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP C,Yugoslavia,T-86,3,1,2,0,7,6,1,4,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP C,Scotland,T-63,3,0,2,1,4,6,-2,2,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP C,Paraguay,T-54,3,1,0,2,6,9,-3,2,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP D,Brazil,T-9,3,2,1,0,5,0,5,5,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP D,Soviet Union,T-71,3,1,1,1,4,4,0,3,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP D,England,T-27,3,0,2,1,4,6,-2,2,,,,,,,,,
1958,1958 FIFA Men's World Cup,GROUP D,Austria,T-5,3,0,2,1,2,5,-3,2,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP A,USSR,T-83,3,2,1,0,8,5,3,5,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP A,Yugoslavia,T-86,3,2,0,1,8,3,5,4,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,1,0,2,4,6,-2,2,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP A,Colombia,T-15,3,0,1,2,5,11,-6,1,,,,,,,,,
1962,1962 FIFA Men's World Cup,GROUP B,West Germany,T-85,3,2,1,0,4,1,3,5,,,,,,,,,
