TEAM_ID,TEAM_NAME,TEAM_CODE,IMAGE_URL
T-20,Czechoslovakia,CSK,https://static.vecteezy.com/system/resources/previews/048/401/136/non_2x/czech-national-flag-czech-republic-official-identity-illustration-vector.jpg
T-21,Denmark,DNK,https://tse1.mm.bing.net/th/id/OIP.QaKbPTXhT6pFoy7BkiCyuAHaFK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-22,Dutch East Indies,IDN,https://tse3.mm.bing.net/th/id/OIP.uY6G01NYVkK6Rjyukj5UggAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-23,East Germany,DDR,https://tse3.mm.bing.net/th/id/OIP.6u_XFS1Tmnc9KTjoBkjU5gHaEc?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-24,Ecuador,ECU,https://th.bing.com/th/id/R.a338bd8fb60ce5016da1ffafc3d512a7?rik=rzI3Ev57%2bc5MyA&riu=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f9%2f96%2fFlag_of_Ecuador.png&ehk=SZ5l3ur02UX6P%2fXLT4VZUgtWLfr%2b0BFwkMsurktfBzM%3d&risl=&pid=ImgRaw&r=0
T-25,Egypt,EGY,https://static.vecteezy.com/system/resources/previews/045/742/595/non_2x/flag-of-egypt-egypt-national-flag-vector.jpg
T-26,El Salvador,SLV,https://tse1.mm.bing.net/th/id/OIP.0GEv8WsJcLwhrVhYKa235gHaEL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-27,England,ENG,https://www.countryflags.com/wp-content/uploads/england-flag-jpg-xl.jpg
T-28,France,FRA,https://i.pinimg.com/originals/24/ba/06/24ba068ceb093840e2c9a95da1e4114c.png
T-29,Germany,DEU,https://flagsweb.com/images/PNG/Flag_of_Germany.png
T-30,Ghana,GHA,https://flagcdn.com/w2560/gh.png
T-31,Greece,GRC,https://cdn.freelogovectors.net/wp-content/uploads/2022/01/hellenic-republic-greece-flag-freelogovectors.net_.png
T-32,Haiti,HTI,https://th.bing.com/th/id/R.a66ac70f65a784719c80cce97da8397f?rik=QR5HCT0lzjwfsw&riu=http%3a%2f%2fwww.theflagman.co.uk%2fwp-content%2fuploads%2f2017%2f03%2fflag-of-Haiti.jpg&ehk=4%2b5AM9qOYdRqObEP7hqtNkCdyV4kBICwDzBxT4wugn4%3d&risl=&pid=ImgRaw&r=0
T-33,Honduras,HND,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Honduras_(1949%E2%80%932022%2C_2026%E2%80%93present).svg/1280px-Flag_of_Honduras_(1949%E2%80%932022%2C_2026%E2%80%93present).svg.png
T-34,Hungary,HUN,https://country-flags.org/downloads/hungary-flag/raster/hungary-flag-2560px-1280px.jpg
T-35,Iceland,ISL,https://flagsweb.com/images/GIF/Flag_of_Iceland.gif
T-36,Iran,IRN,https://static.vecteezy.com/system/resources/previews/043/533/061/large_2x/national-flag-of-iran-iran-flag-waving-iran-flag-free-vector.jpg
T-37,Iraq,IRQ,https://static.vecteezy.com/system/resources/previews/000/388/313/original/vector-illustration-of-iraq-flag.jpg
T-38,Ireland,IRL,https://tse3.mm.bing.net/th/id/OIP.ftAiu2cEg9bZFC1likFEHwHaDt?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-39,Israel,ISR,https://flagpedia.net/data/flags/w1600/il.png
T-40,Italy,ITA,https://tse1.mm.bing.net/th/id/OIP.PROT0PCie3d8bK0hyf-pfwHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-41,Ivory Coast,CIV,https://tse4.mm.bing.net/th/id/OIP.Id3LXTcV4SG8dp2_0JIlogHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-42,Jamaica,JAM,https://cdn.pixabay.com/photo/2012/04/14/16/53/flag-34591_1280.png
T-43,Japan,JPN,https://pngimg.com/uploads/flags/flags_PNG14641.png
T-44,Kuwait,KWT,https://tse2.mm.bing.net/th/id/OIP.Yuew-cEJAhQfdUBZW7iTVwHaDt?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-45,Mexico,MEX,https://cdn.pixabay.com/photo/2017/12/06/10/57/mexican-flag-3001452_1280.png
T-46,Morocco,MAR,https://www.pngall.com/wp-content/uploads/2016/05/Morocco-Flag.png
T-47,Netherlands,NLD,https://static.vecteezy.com/system/resources/previews/009/767/124/large_2x/netherlands-flag-national-flag-of-netherlands-high-quality-free-vector.jpg
T-48,New Zealand,NZL,https://static.vecteezy.com/system/resources/previews/000/390/790/original/illustration-of-new-zealand-flag-vector.jpg
T-49,Nigeria,NGA,https://wallpaperaccess.com/full/1843653.jpg
T-50,North Korea,PRK,https://th.bing.com/th/id/R.d0dd80b7289e8d3d85e2546f8b0067be?rik=CP3nObvORQwq%2fQ&riu=http%3a%2f%2fwww.publicdomainpictures.net%2fpictures%2f250000%2fvelka%2fnorth-korea-flag.jpg&ehk=4mXLfcLqYv1y8zZ%2bhthuKjeaM3MKna7siZ%2fDenkxMCs%3d&risl=&pid=ImgRaw&r=0
T-51,Northern Ireland,NIR,https://flagcdn.com/w2560/gb-nir.png
T-52,Norway,NOR,https://tse1.mm.bing.net/th/id/OIP.gZJenicLQSxH7Nt8Yk5PsQHaFY?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-53,Panama,PAN,https://flagdom.com/flag-resources/flag-images/international/panama/panama-flag_3000x2000.png
T-54,Paraguay,PRY,https://cdn.pixabay.com/photo/2013/07/13/14/16/paraguay-162388_1280.png
T-55,Peru,PER,https://cdn.pixabay.com/photo/2022/03/06/04/17/flag-7050799_1280.png
T-56,Poland,POL,https://flagpedia.net/data/flags/w1600/pl.png
T-57,Portugal,PRT,https://static.vecteezy.com/system/resources/previews/011/158/949/non_2x/national-flag-of-portugal-vector.jpg
T-58,Qatar,QAT,https://static.vecteezy.com/system/resources/previews/043/533/040/non_2x/national-flag-of-qatar-qatar-flag-waving-qatar-flag-free-vector.jpg
T-59,Republic of Ireland,IRL,https://tse4.mm.bing.net/th/id/OIP._W1bJADkPbJ5VGaOOCi8hAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-60,Romania,ROU,https://tse1.mm.bing.net/th/id/OIP.f8uCu9HlfRTysPtKK91-QwHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-61,Russia,RUS,https://flagpedia.net/data/flags/w1600/ru.png
T-62,Saudi Arabia,SAU,https://flagpedia.net/data/flags/w1600/sa.png
T-63,Scotland,SCO,https://static.vecteezy.com/system/resources/previews/046/543/240/original/national-flag-of-scotland-scotland-flag-waving-scotland-flag-free-vector.jpg
T-64,Senegal,SEN,https://flagcdn.com/w2560/sn.png
T-65,Serbia,SRB,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/3840px-Flag_of_Serbia.svg.png
T-66,Serbia & Montenegro,SCG,https://thumbs.dreamstime.com/b/flag-serbia-montenegro-d-close-up-86165210.jpg
T-67,Slovakia,SVK,https://tse2.mm.bing.net/th/id/OIP.xFDLw5tKbI8_vnLm0MsNCgHaE-?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-68,Slovenia,SVN,https://static.vecteezy.com/system/resources/previews/026/615/343/non_2x/national-flag-of-slovenia-slovene-slovenian-country-flag-republic-of-slovenia-detailed-banner-eps-illustration-cut-file-vector.jpg
T-69,South Africa,ZAF,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/3840px-Flag_of_South_Africa.svg.png
T-70,South Korea,KOR,https://flagcdn.com/w2560/kr.png
T-71,Soviet Union,SUN,https://tse1.mm.bing.net/th/id/OIP.yUYImSLRjcc0wR18H2qtiAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-72,Spain,ESP,https://static.vecteezy.com/system/resources/previews/023/589/735/large_2x/flag-of-spain-national-flag-of-spain-free-vector.jpg
